year,month,date_of_month,day_of_week,births,date
2000,1,1,6,9083,1/1/2000
2000,1,2,7,8006,1/2/2000
2000,1,3,1,11363,1/3/2000
2000,1,4,2,13032,1/4/2000
2000,1,5,3,12558,1/5/2000
2000,1,6,4,12466,1/6/2000
2000,1,7,5,12516,1/7/2000
2000,1,8,6,8934,1/8/2000
2000,1,9,7,7949,1/9/2000
2000,1,10,1,11668,1/10/2000
2000,1,11,2,12611,1/11/2000
2000,1,12,3,12398,1/12/2000
2000,1,13,4,11815,1/13/2000
2000,1,14,5,12180,1/14/2000
2000,1,15,6,8525,1/15/2000
2000,1,16,7,7657,1/16/2000
2000,1,17,1,10824,1/17/2000
2000,1,18,2,12350,1/18/2000
2000,1,19,3,12405,1/19/2000
2000,1,20,4,12506,1/20/2000
2000,1,21,5,11953,1/21/2000
2000,1,22,6,8855,1/22/2000
2000,1,23,7,7856,1/23/2000
2000,1,24,1,11449,1/24/2000
2000,1,25,2,12593,1/25/2000
2000,1,26,3,12143,1/26/2000
2000,1,27,4,12408,1/27/2000
2000,1,28,5,11934,1/28/2000
2000,1,29,6,8805,1/29/2000
2000,1,30,7,7764,1/30/2000
2000,1,31,1,11133,1/31/2000
2000,2,1,2,12614,2/1/2000
2000,2,2,3,12465,2/2/2000
2000,2,3,4,12062,2/3/2000
2000,2,4,5,12035,2/4/2000
2000,2,5,6,8624,2/5/2000
2000,2,6,7,7862,2/6/2000
2000,2,7,1,11630,2/7/2000
2000,2,8,2,12879,2/8/2000
2000,2,9,3,12315,2/9/2000
2000,2,10,4,12612,2/10/2000
2000,2,11,5,12411,2/11/2000
2000,2,12,6,8836,2/12/2000
2000,2,13,7,7933,2/13/2000
2000,2,14,1,12152,2/14/2000
2000,2,15,2,13017,2/15/2000
2000,2,16,3,12504,2/16/2000
2000,2,17,4,12520,2/17/2000
2000,2,18,5,12406,2/18/2000
2000,2,19,6,8861,2/19/2000
2000,2,20,7,7943,2/20/2000
2000,2,21,1,10610,2/21/2000
2000,2,22,2,12664,2/22/2000
2000,2,23,3,12252,2/23/2000
2000,2,24,4,12423,2/24/2000
2000,2,25,5,12204,2/25/2000
2000,2,26,6,9026,2/26/2000
2000,2,27,7,7836,2/27/2000
2000,2,28,1,11455,2/28/2000
2000,2,29,2,11895,2/29/2000
2000,3,1,3,12672,3/1/2000
2000,3,2,4,12524,3/2/2000
2000,3,3,5,12390,3/3/2000
2000,3,4,6,9054,3/4/2000
2000,3,5,7,7734,3/5/2000
2000,3,6,1,11375,3/6/2000
2000,3,7,2,12420,3/7/2000
2000,3,8,3,12338,3/8/2000
2000,3,9,4,12615,3/9/2000
2000,3,10,5,12152,3/10/2000
2000,3,11,6,8822,3/11/2000
2000,3,12,7,7937,3/12/2000
2000,3,13,1,11157,3/13/2000
2000,3,14,2,12773,3/14/2000
2000,3,15,3,12428,3/15/2000
2000,3,16,4,12431,3/16/2000
2000,3,17,5,12385,3/17/2000
2000,3,18,6,8677,3/18/2000
2000,3,19,7,7782,3/19/2000
2000,3,20,1,11595,3/20/2000
2000,3,21,2,12689,3/21/2000
2000,3,22,3,12272,3/22/2000
2000,3,23,4,12396,3/23/2000
2000,3,24,5,12327,3/24/2000
2000,3,25,6,9155,3/25/2000
2000,3,26,7,7815,3/26/2000
2000,3,27,1,11291,3/27/2000
2000,3,28,2,12650,3/28/2000
2000,3,29,3,12077,3/29/2000
2000,3,30,4,12071,3/30/2000
2000,3,31,5,11820,3/31/2000
2000,4,1,6,8388,4/1/2000
2000,4,2,7,7540,4/2/2000
2000,4,3,1,11397,4/3/2000
2000,4,4,2,12797,4/4/2000
2000,4,5,3,12209,4/5/2000
2000,4,6,4,12192,4/6/2000
2000,4,7,5,12213,4/7/2000
2000,4,8,6,8743,4/8/2000
